"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "Vue", "CSS", "XML", "SCSS", "HTML", "comment", "blank", "total"
"/Users/zouxinyu/Yuki/my-blog/.eslintrc.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 7, 2, 26
"/Users/zouxinyu/Yuki/my-blog/README.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/zouxinyu/Yuki/my-blog/babel.config.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 2, 24
"/Users/zouxinyu/Yuki/my-blog/common/font.css", "CSS", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"/Users/zouxinyu/Yuki/my-blog/package-lock.json", "JSON", 36130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36131
"/Users/zouxinyu/Yuki/my-blog/package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/zouxinyu/Yuki/my-blog/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 16, 1, 37
"/Users/zouxinyu/Yuki/my-blog/public/live2d/autoload.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 14, 5, 70
"/Users/zouxinyu/Yuki/my-blog/public/live2d/live2d.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/zouxinyu/Yuki/my-blog/public/live2d/waifu-tips.js", "JavaScript", 0, 0, 276, 0, 0, 0, 0, 0, 0, 18, 13, 307
"/Users/zouxinyu/Yuki/my-blog/public/live2d/waifu-tips.json", "JSON", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 225
"/Users/zouxinyu/Yuki/my-blog/public/live2d/waifu.css", "CSS", 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 64, 308
"/Users/zouxinyu/Yuki/my-blog/src/App.vue", "Vue", 0, 0, 0, 0, 122, 0, 0, 0, 0, 12, 24, 158
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 4, 25
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 8, 4, 29
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/common.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/common.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 4, 2, 10
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/homeBack.css", "CSS", 0, 0, 0, 0, 0, 52, 0, 0, 0, 3, 8, 63
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/loadAnime.css", "CSS", 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 7, 62
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/progress-catalog.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 0, 0, 4, 7, 44
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/anchor.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/androidapp.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/app.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/close.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/dot.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/heart.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/iosapp.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/loginOut.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/macapp.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/search.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/time.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/vue2.xLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/vue3.xLogo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/webapp.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/footerImg/sakura.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 25
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/homeBack/QQ.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/homeBack/email.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/homeBack/github.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/homeBack/weixin.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/homeBack/ying-l.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/homeBack/ying-r.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/ts/API.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 11, 2, 15
"/Users/zouxinyu/Yuki/my-blog/src/assets/ts/Regexp.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 6, 2, 12
"/Users/zouxinyu/Yuki/my-blog/src/assets/ts/base64.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 9, 1, 24
"/Users/zouxinyu/Yuki/my-blog/src/assets/ts/canvas.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 12, 10, 115
"/Users/zouxinyu/Yuki/my-blog/src/assets/ts/cat.ts", "TypeScript", 0, 0, 0, 189, 0, 0, 0, 0, 0, 50, 26, 265
"/Users/zouxinyu/Yuki/my-blog/src/assets/ts/common.ts", "TypeScript", 0, 0, 0, 108, 0, 0, 0, 0, 0, 54, 24, 186
"/Users/zouxinyu/Yuki/my-blog/src/assets/ts/yome.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/addPage.vue", "Vue", 0, 0, 0, 0, 419, 0, 0, 0, 0, 84, 54, 557
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/appKanriPage.vue", "Vue", 0, 0, 0, 0, 331, 0, 0, 0, 0, 62, 39, 432
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/artKanriPage.vue", "Vue", 0, 0, 0, 0, 191, 0, 0, 0, 0, 48, 24, 263
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/homePageKanriPage.vue", "Vue", 0, 0, 0, 0, 136, 0, 0, 0, 0, 24, 12, 172
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/imgUpLoad.vue", "Vue", 0, 0, 0, 0, 87, 0, 0, 0, 0, 8, 13, 108
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/typeClassKanri.vue", "Vue", 0, 0, 0, 0, 297, 0, 0, 0, 0, 49, 35, 381
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/userSetPage.vue", "Vue", 0, 0, 0, 0, 214, 0, 0, 0, 0, 32, 35, 281
"/Users/zouxinyu/Yuki/my-blog/src/components/adminPage/sidebar.vue", "Vue", 0, 0, 0, 0, 82, 0, 0, 0, 0, 4, 9, 95
"/Users/zouxinyu/Yuki/my-blog/src/components/appItem/appItem.vue", "Vue", 0, 0, 0, 0, 103, 0, 0, 0, 0, 7, 14, 124
"/Users/zouxinyu/Yuki/my-blog/src/components/backTop/backTop.vue", "Vue", 0, 0, 0, 0, 122, 0, 0, 0, 0, 34, 21, 177
"/Users/zouxinyu/Yuki/my-blog/src/components/backTop/css/kituneMove.css", "CSS", 0, 0, 0, 0, 0, 301, 0, 0, 0, 2, 42, 345
"/Users/zouxinyu/Yuki/my-blog/src/components/banner/2021-haru/bannerHaru.vue", "Vue", 0, 0, 0, 0, 353, 0, 0, 0, 0, 44, 10, 407
"/Users/zouxinyu/Yuki/my-blog/src/components/banner/2021-haru/imageBox.vue", "Vue", 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 3, 40
"/Users/zouxinyu/Yuki/my-blog/src/components/banner/2021-natu/bannerNatu.vue", "Vue", 0, 0, 0, 0, 81, 0, 0, 0, 0, 23, 10, 114
"/Users/zouxinyu/Yuki/my-blog/src/components/blogFooter/blogFooter.vue", "Vue", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 13, 91
"/Users/zouxinyu/Yuki/my-blog/src/components/classPageItem/classPageItem.vue", "Vue", 0, 0, 0, 0, 154, 0, 0, 0, 0, 15, 20, 189
"/Users/zouxinyu/Yuki/my-blog/src/components/contentLine/contentLine.vue", "Vue", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 10, 71
"/Users/zouxinyu/Yuki/my-blog/src/components/contentPageItem/contentPageItem.vue", "Vue", 0, 0, 0, 0, 190, 0, 0, 0, 0, 22, 31, 243
"/Users/zouxinyu/Yuki/my-blog/src/components/contentPageItem/contentPageItemTag/contentPageItemTag.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"/Users/zouxinyu/Yuki/my-blog/src/components/contentTop/contentTop.vue", "Vue", 0, 0, 0, 0, 109, 0, 0, 0, 0, 9, 16, 134
"/Users/zouxinyu/Yuki/my-blog/src/components/home/homeCaIcon.vue", "Vue", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 9, 73
"/Users/zouxinyu/Yuki/my-blog/src/components/home/indexNav.vue", "Vue", 0, 0, 0, 0, 93, 0, 0, 0, 0, 6, 13, 112
"/Users/zouxinyu/Yuki/my-blog/src/components/indexList/indexList.vue", "Vue", 0, 0, 0, 0, 191, 0, 0, 0, 0, 39, 31, 261
"/Users/zouxinyu/Yuki/my-blog/src/components/indexList/indexListItem/indexListItem.vue", "Vue", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 7, 28
"/Users/zouxinyu/Yuki/my-blog/src/components/language/language.vue", "Vue", 0, 0, 0, 0, 133, 0, 0, 0, 0, 16, 19, 168
"/Users/zouxinyu/Yuki/my-blog/src/components/nav/topNav.vue", "Vue", 0, 0, 0, 0, 383, 0, 0, 0, 0, 61, 56, 500
"/Users/zouxinyu/Yuki/my-blog/src/components/topLogo/topLogo.vue", "Vue", 0, 0, 0, 0, 74, 0, 0, 0, 0, 29, 13, 116
"/Users/zouxinyu/Yuki/my-blog/src/components/topProgress/topProgress.vue", "Vue", 0, 0, 0, 0, 58, 0, 0, 0, 0, 19, 12, 89
"/Users/zouxinyu/Yuki/my-blog/src/components/viewMore/viewMore.vue", "Vue", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 9, 59
"/Users/zouxinyu/Yuki/my-blog/src/main.ts", "TypeScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 55, 25, 168
"/Users/zouxinyu/Yuki/my-blog/src/plugins/element.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/zouxinyu/Yuki/my-blog/src/router/adminRouter.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 6, 1, 92
"/Users/zouxinyu/Yuki/my-blog/src/router/homePageRouter.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 6, 2, 91
"/Users/zouxinyu/Yuki/my-blog/src/router/index.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 6, 5, 21
"/Users/zouxinyu/Yuki/my-blog/src/shims-vue.d.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 7, 2, 29
"/Users/zouxinyu/Yuki/my-blog/src/store/index.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 0, 11, 2, 84
"/Users/zouxinyu/Yuki/my-blog/src/views/404NotFind.vue", "Vue", 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 6, 55
"/Users/zouxinyu/Yuki/my-blog/src/views/Home.vue", "Vue", 0, 0, 0, 0, 374, 0, 0, 0, 0, 45, 45, 464
"/Users/zouxinyu/Yuki/my-blog/src/views/adminPage/adminHome.vue", "Vue", 0, 0, 0, 0, 76, 0, 0, 0, 0, 11, 11, 98
"/Users/zouxinyu/Yuki/my-blog/src/views/adminPage/testPage.vue", "Vue", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 3, 72
"/Users/zouxinyu/Yuki/my-blog/src/views/application.vue", "Vue", 0, 0, 0, 0, 139, 0, 0, 0, 0, 18, 21, 178
"/Users/zouxinyu/Yuki/my-blog/src/views/classPage.vue", "Vue", 0, 0, 0, 0, 159, 0, 0, 0, 0, 40, 27, 226
"/Users/zouxinyu/Yuki/my-blog/src/views/contentPage.vue", "Vue", 0, 0, 0, 0, 381, 0, 0, 0, 0, 118, 70, 569
"/Users/zouxinyu/Yuki/my-blog/src/views/searchPage.vue", "Vue", 0, 0, 0, 0, 220, 0, 0, 0, 0, 19, 23, 262
"/Users/zouxinyu/Yuki/my-blog/src/views/senPage.vue", "Vue", 0, 0, 0, 0, 180, 0, 0, 0, 0, 44, 25, 249
"/Users/zouxinyu/Yuki/my-blog/src/views/templatePage.vue", "Vue", 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 9, 49
"/Users/zouxinyu/Yuki/my-blog/src/views/usePC.vue", "Vue", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"/Users/zouxinyu/Yuki/my-blog/tsconfig.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 40
"/Users/zouxinyu/Yuki/my-blog/vue.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 1, 18
"Total", "-", 36440, 19, 370, 791, 5999, 722, 45, 21, 20, 1292, 1098, 46817